userName,score,at,content,clean,text_preprocessed,toSantance,polarity_score,polarity
Mantan Bangsat96,4,2023-02-01 05:26:07,Lumayan mempermudah aktivitas online... terima kasih BRImo,lumayan mempermudah aktivitas online terima kasih brimo,"['lumayan', 'mudah', 'aktivitas', 'online', 'terima', 'kasih', 'brimo']",lumayan mempermudah aktivitas online terima kasih brimo,5,positive
Redmi Not3pro,1,2023-02-01 05:24:12,Gak bisa di instal,gak bisa di instal,['instal'],instal,0,neutral
April keayla,1,2023-02-01 05:21:12,GK jelas. Ktany mmprmudah. Mau tarik tunai aja gk bsa masuk k sumber dana. Uda bolakbalek instal ulang TPI tetep aj gk kebuka sumber dana ny.,gk jelas ktany mmprmudah mau tarik tunai aja gk bsa masuk k sumber dana uda bolakbalek instal ulang tpi tetep aj gk kebuka sumber dana ny,"['gk', 'ktany', 'mmprmudah', 'tarik', 'tunai', 'gk', 'masuk', 'sumber', 'dana', 'uda', 'bolakbalek', 'instal', 'ulang', 'gk', 'buka', 'sumber', 'dana', 'ny']",gk ktany mmprmudah tarik tunai gk masuk sumber dana uda bolakbalek instal ulang gk kebuka sumber dana ny,10,positive
Sulla Striayah,5,2023-02-01 05:16:27,Bagus menbantu banget adanyaBrimO,bagus menbantu banget adanyabrimo,"['bagus', 'menbantu', 'banget', 'adanyabrimo']",bagus menbantu banget adanyabrimo,-1,negative
danylo rintami,5,2023-02-01 05:10:52,sangat membantu di kesibukanku...,sangat membantu di kesibukanku,"['bantu', 'sibuk']",membantu kesibukanku,0,neutral
Rezky Teger,5,2023-02-01 05:07:28,"Sungguh sangat memudahkan bagi penggunanya, semoga kedepannya semakin bagus lagi Terimakasih brimo 🙏🙏",sungguh sangat memudahkan bagi penggunanya semoga kedepannya semakin bagus lagi terimakasih brimo,"['sungguh', 'mudah', 'guna', 'moga', 'depan', 'bagus', 'terimakasih', 'brimo']",sungguh memudahkan penggunanya semoga kedepannya bagus terimakasih brimo,11,positive
GunsBoys Chanal,5,2023-02-01 05:06:07,Transaksi lebih lncr dan gak ribet. MANTAP,transaksi lebih lncr dan gak ribet mantap,"['transaksi', 'lncr', 'ribet', 'mantap']",transaksi lncr ribet mantap,5,positive
Ismail Sh,5,2023-02-01 05:03:09,Alhamdulilah berkat aplikasi BRImo.. bisa lebih mudah dan simple Makasih BRImo,alhamdulilah berkat aplikasi brimo bisa lebih mudah dan simple makasih brimo,"['alhamdulilah', 'berkat', 'aplikasi', 'brimo', 'mudah', 'simple', 'terima', 'kasih', 'brimo']",alhamdulilah berkat aplikasi brimo mudah simple terima kasih brimo,9,positive
Rio putra pamungkas,5,2023-02-01 05:02:41,Memudahkan ber transaksi,memudahkan ber transaksi,"['mudah', 'ber', 'transaksi']",memudahkan ber transaksi,7,positive
Eko Sugiyanto,1,2023-02-01 04:55:36,Kan lucu di pake gak bisa dg alasan dan jawaban transaksi sudah lewat limit harian Lah kapan saya yang pake,kan lucu di pake gak bisa dg alasan dan jawaban transaksi sudah lewat limit harian lah kapan saya yang pake,"['lucu', 'pakai', 'dg', 'alas', 'transaksi', 'limit', 'hari', 'pakai']",lucu pakai dg alasan transaksi limit harian pakai,5,positive
Purwoko Purwoko,5,2023-02-01 04:52:53,"Brimo the bestt,,keren",brimo the besttkeren,"['brimo', 'the', 'besttkeren']",brimo the besttkeren,0,neutral
Sem Anha,5,2023-02-01 04:52:11,Sangat membantu aplikasi ini walau jauh ATM dari rumah untuk transfer tetapi ada aplikasi ini ..,sangat membantu aplikasi ini walau jauh atm dari rumah untuk transfer tetapi ada aplikasi ini,"['bantu', 'aplikasi', 'atm', 'rumah', 'transfer', 'aplikasi']",membantu aplikasi atm rumah transfer aplikasi,-6,negative
Leonardo Sitohang,5,2023-02-01 04:46:28,Sudah berkurang erornya. Segini dulu ya.,sudah berkurang erornya segini dulu ya,"['kurang', 'eror', 'gin', 'iya']",berkurang erornya segini iya,-7,negative
Teh shema Kodariah,5,2023-02-01 04:45:42,"Alhamdulilah dgn adanya BRIMO semuanya bisa jd lebih mudah,trima kasih brimo",alhamdulilah dgn adanya brimo semuanya bisa jd lebih mudahtrima kasih brimo,"['alhamdulilah', 'brimo', 'mudahtrima', 'kasih', 'brimo']",alhamdulilah brimo mudahtrima kasih brimo,4,positive
erie bombay,5,2023-02-01 04:45:32,Sangat mudah aku suka,sangat mudah aku suka,"['mudah', 'suka']",mudah suka,5,positive
Jhon Wick,1,2023-02-01 04:42:07,Aplikasi taaiiii bolak balik Registrasi ulang tetep aja kagak bisa..hey bri perbaiki sistem mu,aplikasi taaiiii bolak balik registrasi ulang tetep aja kagak bisahey bri perbaiki sistem mu,"['aplikasi', 'taaiiii', 'bolak', 'registrasi', 'ulang', 'bisahey', 'bri', 'baik', 'sistem', 'mu']",aplikasi taaiiii bolak registrasi ulang bisahey bri perbaiki sistem mu,-6,negative
muhammad isa daud,5,2023-02-01 04:40:58,Lebih memudahkan,lebih memudahkan,['mudah'],memudahkan,3,positive
Cyra,1,2023-02-01 04:37:22,"Ini aplikasi kenapa, dari pagi saya tidak bisa login, Tolong kalau sedang eror seharusnya diinformasikan ke pengguna",ini aplikasi kenapa dari pagi saya tidak bisa login tolong kalau sedang eror seharusnya diinformasikan ke pengguna,"['aplikasi', 'pagi', 'login', 'tolong', 'eror', 'informasi', 'guna']",aplikasi pagi login tolong eror diinformasikan pengguna,-9,negative
Ika Purnama alam,5,2023-02-01 04:36:48,Tnsaksi perdana note nya limit harian anda maksimal knp,tnsaksi perdana note nya limit harian anda maksimal knp,"['tnsaksi', 'perdana', 'note', 'nya', 'limit', 'hari', 'maksimal']",tnsaksi perdana note nya limit harian maksimal,3,positive
Mujahid El Kalbary,1,2023-02-01 04:35:12,Kok kurang bagus iii jaringan brimo bos,kok kurang bagus iii jaringan brimo bos,"['bagus', 'iii', 'jaring', 'brimo', 'bos']",bagus iii jaringan brimo bos,4,positive
Reza nugraha Putra,5,2023-02-01 04:31:31,Memudahkan mengunakan layanan,memudahkan mengunakan layanan,"['mudah', 'mengunakan', 'layan']",memudahkan mengunakan layanan,3,positive
Arul Gamer,1,2023-02-01 04:31:01,Ribet daftarnya gagal terus,ribet daftarnya gagal terus,"['ribet', 'daftar', 'gagal']",ribet daftarnya gagal,-10,negative
ferry taufan,1,2023-02-01 04:30:24,Aplikasi yang jadinya mempersulit. Registrasi susah minta ampun,aplikasi yang jadinya mempersulit registrasi susah minta ampun,"['aplikasi', 'sulit', 'registrasi', 'susah', 'ampun']",aplikasi mempersulit registrasi susah ampun,-9,negative
Fadhel Achmad,1,2023-02-01 04:30:11,"Sangat mengecewakan pelayan bank BRI sekelas CABANG PUSAT PALEMBANG,",sangat mengecewakan pelayan bank bri sekelas cabang pusat palembang,"['kecewa', 'layan', 'bank', 'bri', 'kelas', 'cabang', 'pusat', 'palembang']",mengecewakan pelayan bank bri sekelas cabang pusat palembang,0,neutral
Anggi Enjira,4,2023-02-01 04:29:55,Hallo bosku.bantu saya ini saya lupa password akun daya keblokir gara2 lupa password nya mohon bantuannya,hallo boskubantu saya ini saya lupa password akun daya keblokir gara lupa password nya mohon bantuannya,"['hallo', 'boskubantu', 'lupa', 'password', 'akun', 'daya', 'blokir', 'gara', 'lupa', 'password', 'nya', 'mohon', 'bantu']",hallo boskubantu lupa password akun daya keblokir gara lupa password nya mohon bantuannya,-8,negative
Aroel Sanchez,5,2023-02-01 04:28:03,"Semua transaksi jafi lebih mudah,..",semua transaksi jafi lebih mudah,"['transaksi', 'jafi', 'mudah']",transaksi jafi mudah,7,positive
Kristian Girsang,1,2023-02-01 04:26:45,Buka rekening baru apa memang gak bisa dapat kartu ATM lagi ya? Cacingan nih BRI,buka rekening baru apa memang gak bisa dapat kartu atm lagi ya cacingan nih bri,"['buka', 'rekening', 'kartu', 'atm', 'iya', 'cacing', 'bri']",buka rekening kartu atm iya cacingan bri,-4,negative
Didin Syaprudin,5,2023-02-01 04:26:23,Ko tidak bisa di update,ko tidak bisa di update,"['ko', 'update']",ko update,0,neutral
Ajeng Shoima,1,2023-02-01 04:17:33,"transfer gagal terus padahal gak melebihi limit harian tp ditulisnya limit harian, hari itu baru transfer sekali tp kena limit mulu bilangnya!!!!!",transfer gagal terus padahal gak melebihi limit harian tp ditulisnya limit harian hari itu baru transfer sekali tp kena limit mulu bilangnya,"['transfer', 'gagal', 'lebih', 'limit', 'hari', 'tulis', 'limit', 'hari', 'transfer', 'kena', 'limit', 'melulu', 'bilang']",transfer gagal melebihi limit harian ditulisnya limit harian transfer kena limit melulu bilangnya,-9,negative
Putri ApriNia,1,2023-02-01 04:15:56,"Mau daftar aja susah banget, tolong ditingkatkan lagi aplikasi nya.. kalo memang belum siap lebih baik diperbaiki matang² dulu sebelum launching",mau daftar aja susah banget tolong ditingkatkan lagi aplikasi nya kalo memang belum siap lebih baik diperbaiki matang dulu sebelum launching,"['daftar', 'susah', 'banget', 'tolong', 'tingkat', 'aplikasi', 'nya', 'baik', 'matang', 'launching']",daftar susah banget tolong ditingkatkan aplikasi nya diperbaiki matang launching,-4,negative
yasrizal _eri,1,2023-02-01 04:15:44,Susah sekali untuk masuk brimo nya mohon bantuan dari pihak bri,susah sekali untuk masuk brimo nya mohon bantuan dari pihak bri,"['susah', 'masuk', 'brimo', 'nya', 'mohon', 'bantu', 'bri']",susah masuk brimo nya mohon bantuan bri,-7,negative
aries tama,1,2023-02-01 04:15:14,1 aja sebab susah virifikasinya kode otp udah bener semuanya.jg udah.benar masih aja kode otp salah gimana sih brimo bukan mempermudah malah.mempersulit.bikin.kesel.aja,aja sebab susah virifikasinya kode otp udah bener semuanyajg udahbenar masih aja kode otp salah gimana sih brimo bukan mempermudah malahmempersulitbikinkeselaja,"['susah', 'virifikasinya', 'kode', 'otp', 'semuanyajg', 'udahbenar', 'kode', 'otp', 'salah', 'sih', 'brimo', 'mudah', 'malahmempersulitbikinkeselaja']",susah virifikasinya kode otp semuanyajg udahbenar kode otp salah sih brimo mempermudah malahmempersulitbikinkeselaja,-10,negative
Jou main,5,2023-02-01 04:09:36,Saya sangat terbantu sekali,saya sangat terbantu sekali,['bantu'],terbantu,-1,negative
Pur Purnomo,5,2023-02-01 04:08:32,Mantap tp biaya transfer ke bank lain terlalu besar,mantap tp biaya transfer ke bank lain terlalu besar,"['mantap', 'biaya', 'transfer', 'bank']",mantap biaya transfer bank,5,positive
bayu setiawan,5,2023-02-01 04:07:26,"mantap lah , aplikasi brimo udah bertahun tahun pake aplikasi m-banking ini tidak mengecewakan .. buat yg bilang gak bisa ikutin prosedurnya boss dtg dulu ke bank BRI, minta aktivasi akunnya baru download dan ikuti alurnya .. mantapp",mantap lah  aplikasi brimo udah bertahun tahun pake aplikasi mbanking ini tidak mengecewakan  buat yg bilang gak bisa ikutin prosedurnya boss dtg dulu ke bank bri minta aktivasi akunnya baru download dan ikuti alurnya  mantapp,"['mantap', 'aplikasi', 'brimo', 'tahun', 'pakai', 'aplikasi', 'mbanking', 'kecewa', 'bilang', 'ikutin', 'prosedur', 'boss', 'bank', 'bri', 'aktivasi', 'akun', 'download', 'ikut', 'alur', 'mantapp']",mantap aplikasi brimo bertahun pakai aplikasi mbanking mengecewakan bilang ikutin prosedurnya boss bank bri aktivasi akunnya download ikuti alurnya mantapp,-12,negative
Xxx Boy,5,2023-02-01 04:06:36,Bgus .simpel ..cepat dan mudah,bgus simpel cepat dan mudah,"['bgus', 'simpel', 'cepat', 'mudah']",bgus simpel cepat mudah,6,positive
miftakhudin mellan,5,2023-02-01 04:05:07,Termudahkan,termudahkan,['mudah'],termudahkan,3,positive
Ayi Diantoro,3,2023-02-01 04:00:02,Apk lengkap ini sangat menunjang untuk fasilitas kebutuhan sehari hari dalam bertransaksi,apk lengkap ini sangat menunjang untuk fasilitas kebutuhan sehari hari dalam bertransaksi,"['apk', 'lengkap', 'tunjang', 'fasilitas', 'butuh', 'hari', 'transaksi']",apk lengkap menunjang fasilitas kebutuhan sehari bertransaksi,-1,negative
Emdi 4411,1,2023-02-01 03:59:44,Susah lolos registrasi,susah lolos registrasi,"['susah', 'lolos', 'registrasi']",susah lolos registrasi,-7,negative
Ajibain Hutasoit,5,2023-02-01 03:58:56,Smg kedepan nya tambah bagus lancar,smg kedepan nya tambah bagus lancar,"['smg', 'depan', 'nya', 'bagus', 'lancar']",smg kedepan nya bagus lancar,0,neutral
Sita Dewi,5,2023-02-01 03:57:49,Transaksi cepat dan memuaskan,transaksi cepat dan memuaskan,"['transaksi', 'cepat', 'muas']",transaksi cepat memuaskan,9,positive
yulia veranika,5,2023-02-01 03:57:32,Semua jadi cepet,semua jadi cepet,['cepat'],cepat,0,neutral
Tsabita 'Aqila Humaira',5,2023-02-01 03:54:53,mudah dan bermanfaat,mudah dan bermanfaat,"['mudah', 'manfaat']",mudah bermanfaat,8,positive
Wahyu Hidayat,5,2023-02-01 03:50:49,Sangat membantu dan penggunaan nya mudah,sangat membantu dan penggunaan nya mudah,"['bantu', 'guna', 'nya', 'mudah']",membantu penggunaan nya mudah,3,positive
Indra Sukmana,1,2023-02-01 03:50:39,Sudah satu bulan di coba Verifikasi wajah selalu gagal jadi malas membuatnya...,sudah satu bulan di coba verifikasi wajah selalu gagal jadi malas membuatnya,"['coba', 'verifikasi', 'wajah', 'gagal', 'malas', 'buat']",coba verifikasi wajah gagal malas membuatnya,-6,negative
anwar Jalil,5,2023-02-01 03:47:13,Mewakili semua keinginan,mewakili semua keinginan,['wakil'],mewakili,0,neutral
arifuddin stmt,1,2023-02-01 03:43:25,"Disuruh update ke versi terbaru kok susahnya , sampai skr blum bisa diupdate, kecewa gue",disuruh update ke versi terbaru kok susahnya  sampai skr blum bisa diupdate kecewa gue,"['suruh', 'update', 'versi', 'baru', 'susah', 'skr', 'diupdate', 'kecewa']",disuruh update versi terbaru susahnya skr diupdate kecewa,-5,negative
Ahmad Suyanto,5,2023-02-01 03:41:18,Ok dah,ok dah,"['ok', 'deh']",ok deh,4,positive
fifi trista andriyani,5,2023-02-01 03:37:44,Sangat cepat transaksinya dan sangat membantu kegiatan /aktivitas kita sehari hari,sangat cepat transaksinya dan sangat membantu kegiatan aktivitas kita sehari hari,"['cepat', 'transaksi', 'bantu', 'giat', 'aktivitas', 'hari']",cepat transaksinya membantu kegiatan aktivitas sehari,3,positive
Mohammad Nor aksa,5,2023-02-01 03:35:48,Knp harus sistem nya kaya gini.. Masa saya udah daftar tinggal menunggu hasil proses perekaman nya malah al hasilnya gagal dgn sistem nya.. Kaya apa nhe spy kami bisa masuk ke apk BRIMO nya.. Tolong di bantu🙏🙏🙏,knp harus sistem nya kaya gini masa saya udah daftar tinggal menunggu hasil proses perekaman nya malah al hasilnya gagal dgn sistem nya kaya apa nhe spy kami bisa masuk ke apk brimo nya tolong di bantu,"['sistem', 'nya', 'kaya', 'gin', 'daftar', 'tinggal', 'tunggu', 'hasil', 'proses', 'rekam', 'nya', 'al', 'hasil', 'gagal', 'sistem', 'nya', 'kaya', 'nhe', 'masuk', 'apk', 'brimo', 'nya', 'tolong', 'bantu']",sistem nya kaya gini daftar tinggal menunggu hasil proses perekaman nya al hasilnya gagal sistem nya kaya nhe masuk apk brimo nya tolong bantu,-14,negative
SAID FAHMI,5,2023-02-01 03:31:13,Data ktp di brimo kok bisa berbeda yaa dan gak ada solusi nya dari BRI...kata nya sudah di rubah tapi di aplikasi brimo nya tidak berubah sama sekali,data ktp di brimo kok bisa berbeda yaa dan gak ada solusi nya dari brikata nya sudah di rubah tapi di aplikasi brimo nya tidak berubah sama sekali,"['data', 'ktp', 'brimo', 'beda', 'yaa', 'solusi', 'nya', 'brikata', 'nya', 'rubah', 'aplikasi', 'brimo', 'nya', 'ubah']",data ktp brimo berbeda yaa solusi nya brikata nya rubah aplikasi brimo nya berubah,-6,negative
satria wijaya,1,2023-02-01 03:24:26,"Aplikasi tidak bisa digunakan awal daftar aja sudah susah tidak bisa klik foto KTP, gimana ini aplikasi ruwet",aplikasi tidak bisa digunakan awal daftar aja sudah susah tidak bisa klik foto ktp gimana ini aplikasi ruwet,"['aplikasi', 'daftar', 'susah', 'klik', 'foto', 'ktp', 'aplikasi', 'ruwet']",aplikasi daftar susah klik foto ktp aplikasi ruwet,-14,negative
Rasman Ganteng,1,2023-02-01 03:19:51,"Mohon maaf Min Kenapa BRImo BRI sekarang Jelek yahh Soalnya Mau Dipergunakan Kok ngelag sih Khusus Tarik Tunai Ngelag Terus Min Tapi yang lain bagus"" aja",mohon maaf min kenapa brimo bri sekarang jelek yahh soalnya mau dipergunakan kok ngelag sih khusus tarik tunai ngelag terus min tapi yang lain bagus aja,"['mohon', 'maaf', 'min', 'brimo', 'bri', 'jelek', 'yahh', 'ngelag', 'sih', 'khusus', 'tarik', 'tunai', 'ngelag', 'min', 'bagus']",mohon maaf min brimo bri jelek yahh ngelag sih khusus tarik tunai ngelag min bagus,-3,negative
mulki corner,5,2023-02-01 03:18:03,"Sangat membantu sekali, semoga makin maju",sangat membantu sekali semoga makin maju,"['bantu', 'moga', 'maju']",membantu semoga maju,0,neutral
Arya Pratama,5,2023-02-01 03:15:00,"Pelayanan yg diberikan lengkap,pokoknya semua simpel dan cepat menggunakan brimo👍",pelayanan yg diberikan lengkappokoknya semua simpel dan cepat menggunakan brimo,"['layan', 'lengkappokoknya', 'simpel', 'cepat', 'brimo']",pelayanan lengkappokoknya simpel cepat brimo,3,positive
Gita,1,2023-02-01 03:10:53,"Aplikasi nya oke. Tapi fitur pengaduannya agak kurang berguna. Saya melakukan pengaduan lewat aplikasi biar memudahkan. Ternyata ujung2nya tetap harus datang ke cabang atau telfon call center. Kalau emang ujungnya harus mengurus offline sih mending dari awal fitur pengaduan hanya sekadar untuk buat laporan aja, bukan tertera proses pengaduan dari diterima sampai selesai. Jadi pengguna gak salah sangka bisa pengaduan secara online dan diproses hanya dengan bikin laporan pengaduan dan kirim bukti",aplikasi nya oke tapi fitur pengaduannya agak kurang berguna saya melakukan pengaduan lewat aplikasi biar memudahkan ternyata ujungnya tetap harus datang ke cabang atau telfon call center kalau emang ujungnya harus mengurus offline sih mending dari awal fitur pengaduan hanya sekadar untuk buat laporan aja bukan tertera proses pengaduan dari diterima sampai selesai jadi pengguna gak salah sangka bisa pengaduan secara online dan diproses hanya dengan bikin laporan pengaduan dan kirim bukti,"['aplikasi', 'nya', 'oke', 'fitur', 'adu', 'guna', 'adu', 'aplikasi', 'biar', 'mudah', 'ujung', 'cabang', 'telfon', 'call', 'center', 'emang', 'ujung', 'urus', 'offline', 'sih', 'lebih', 'baik', 'fitur', 'adu', 'lapor', 'tera', 'proses', 'adu', 'terima', 'selesai', 'guna', 'salah', 'sangka', 'adu', 'online', 'proses', 'bikin', 'lapor', 'adu', 'kirim', 'bukti']",aplikasi nya oke fitur pengaduannya berguna pengaduan aplikasi biar memudahkan ujungnya cabang telfon call center emang ujungnya mengurus offline sih lebih baik fitur pengaduan laporan tertera proses pengaduan diterima selesai pengguna salah sangka pengaduan online diproses bikin laporan pengaduan kirim bukti,-23,negative
Mas Doi Top,5,2023-02-01 03:06:50,Ok bet,ok bet,"['ok', 'banget']",ok banget,5,positive
Asep Rudiana,1,2023-02-01 03:03:02,"Mengecewakan foto sudah di kirim nama alamat no.rekening tapi ga bisa masuk,aplikasi yg sangat mengecewakan bukannya mempermudah...",mengecewakan foto sudah di kirim nama alamat norekening tapi ga bisa masukaplikasi yg sangat mengecewakan bukannya mempermudah,"['kecewa', 'foto', 'kirim', 'nama', 'alamat', 'norekening', 'ga', 'masukaplikasi', 'kecewa', 'mudah']",mengecewakan foto kirim nama alamat norekening ga masukaplikasi mengecewakan mempermudah,8,positive
Wawan C1261,5,2023-02-01 02:52:52,Banyak membantu untuk saya,banyak membantu untuk saya,['bantu'],membantu,-1,negative
rizal nasrulloh,5,2023-02-01 02:51:48,Bagus ada indikatornya sinyal,bagus ada indikatornya sinyal,"['bagus', 'indikator', 'sinyal']",bagus indikatornya sinyal,-2,negative
RaFaSya Tv,1,2023-02-01 02:46:00,Sampai kapan gak bisa tarik tunai,sampai kapan gak bisa tarik tunai,"['tarik', 'tunai']",tarik tunai,5,positive
Hendrawan Satria,1,2023-02-01 02:45:52,Ribet banget pakek BRImo kalau mau login harus menunggu link yang di kirim melalui SMS lha kalau nomor yg di cantumkan di BRImo sudah mati/hilang gimana ga ada opsi pilihan lain malah cuman login sama nunggu sms doang,ribet banget pakek brimo kalau mau login harus menunggu link yang di kirim melalui sms lha kalau nomor yg di cantumkan di brimo sudah matihilang gimana ga ada opsi pilihan lain malah cuman login sama nunggu sms doang,"['ribet', 'banget', 'pakek', 'brimo', 'login', 'tunggu', 'link', 'kirim', 'sms', 'lha', 'nomor', 'cantum', 'brimo', 'matihilang', 'ga', 'opsi', 'pilih', 'cuman', 'login', 'nunggu', 'sms', 'doang']",ribet banget pakek brimo login menunggu link kirim sms lha nomor cantumkan brimo matihilang ga opsi pilihan cuman login nunggu sms doang,1,positive
nurhayati_tampu,5,2023-02-01 02:45:40,Fiturnya mudah digunakan dan sangat membantu,fiturnya mudah digunakan dan sangat membantu,"['fiturnya', 'mudah', 'bantu']",fiturnya mudah membantu,2,positive
Vino Januard irawan,1,2023-02-01 02:41:40,Ga bisa login keluarrr trus jelek bgt uii,ga bisa login keluarrr trus jelek bgt uii,"['ga', 'login', 'keluarrr', 'jelek', 'banget', 'uii']",ga login keluarrr jelek banget uii,-4,negative
nur sodik,5,2023-02-01 02:36:46,"Ok,apl BRImo sangat membantu dalam bertransaksi.",okapl brimo sangat membantu dalam bertransaksi,"['okapl', 'brimo', 'bantu', 'transaksi']",okapl brimo membantu bertransaksi,3,positive
Untung Prihanto,5,2023-02-01 02:35:54,Canggih,canggih,['canggih'],canggih,0,neutral
Riyo lina,1,2023-02-01 02:31:55,Kok semakin ribet ini app,kok semakin ribet ini app,"['ribet', 'app']",ribet app,-4,negative
Maria Goreti Salima,2,2023-02-01 02:31:41,"Duh parah banget,",duh parah banget,"['aduh', 'parah', 'banget']",aduh parah banget,-6,negative
Novi Unggul Satrya,1,2023-02-01 02:30:43,Banyak bug di app BRI.tolong diperbaiki,banyak bug di app britolong diperbaiki,"['bug', 'app', 'britolong', 'baik']",bug app britolong diperbaiki,2,positive
Enka Rebound (Enkarebound),5,2023-02-01 02:27:05,terimakasih BRImo telah mempermudah transaksi harian kami,terimakasih brimo telah mempermudah transaksi harian kami,"['terimakasih', 'brimo', 'mudah', 'transaksi', 'hari']",terimakasih brimo mempermudah transaksi harian,12,positive
Muhammad Nasirudin,5,2023-02-01 02:26:09,Aplikasi ini sangat mempermudah untuk transaksi mudah dan cepat,aplikasi ini sangat mempermudah untuk transaksi mudah dan cepat,"['aplikasi', 'mudah', 'transaksi', 'mudah', 'cepat']",aplikasi mempermudah transaksi mudah cepat,6,positive
iwan palasari,5,2023-02-01 02:22:25,Yes pokonya,yes pokonya,"['yes', 'poko']",yes pokonya,1,positive
Niah Hani,5,2023-02-01 02:20:16,Sangat membantu dan gampang untuk kirim kirim,sangat membantu dan gampang untuk kirim kirim,"['bantu', 'gampang', 'kirim', 'kirim']",membantu gampang kirim kirim,4,positive
Dian Yan,5,2023-02-01 02:18:16,Sangat membantu bagus,sangat membantu bagus,"['bantu', 'bagus']",membantu bagus,-3,negative
aditia rahman,5,2023-02-01 02:12:01,Ya sip walau transfer nunggu verifikasi dlu,ya sip walau transfer nunggu verifikasi dlu,"['iya', 'sip', 'transfer', 'nunggu', 'verifikasi']",iya sip transfer nunggu verifikasi,1,positive
Alfarizi23,5,2023-02-01 02:06:39,Mempermudah nasabah good,mempermudah nasabah good,"['mudah', 'nasabah', 'good']",mempermudah nasabah good,12,positive
Ulil Miftakhul Firdaus,1,2023-02-01 02:02:56,Makin eror sinyal bagus dibilangnya jelek,makin eror sinyal bagus dibilangnya jelek,"['eror', 'sinyal', 'bagus', 'bilang', 'jelek']",eror sinyal bagus dibilangnya jelek,-11,negative
Miracle Mongi,5,2023-02-01 02:00:57,Lebih muda bertransaksi,lebih muda bertransaksi,"['muda', 'transaksi']",muda bertransaksi,2,positive
3 Poker,5,2023-02-01 02:00:51,Ko menu tarik tunai sekarang ngga bisa si,ko menu tarik tunai sekarang ngga bisa si,"['ko', 'menu', 'tarik', 'tunai', 'si']",ko menu tarik tunai si,5,positive
Tapanuli OK,5,2023-02-01 02:00:50,BRI makin mudah transaksi,bri makin mudah transaksi,"['bri', 'mudah', 'transaksi']",bri mudah transaksi,7,positive
Oppo A92,4,2023-02-01 02:00:12,Excellent,excellent,['excellent'],excellent,0,neutral
Hasan Nudin,5,2023-02-01 01:59:28,Jgn smpe kek m banking lainnya lemot,jgn smpe kek m banking lainnya lemot,"['smpe', 'm', 'banking', 'lambat']",smpe m banking lambat,1,positive
Faishol Amier,1,2023-02-01 01:56:32,Ngasih bintang 5 keluhan dari kami tidak ada respon dengan baik minta bintang 5 memang ruwet tetep ruwet hanya jawaban itu2 aja gak ada respon sama sekali,ngasih bintang  keluhan dari kami tidak ada respon dengan baik minta bintang  memang ruwet tetep ruwet hanya jawaban itu aja gak ada respon sama sekali,"['bintang', 'keluh', 'respon', 'bintang', 'ruwet', 'ruwet', 'respon']",bintang keluhan respon bintang ruwet ruwet respon,-4,negative
Rendy Turbo,5,2023-02-01 01:54:16,Lebih ditingkatkan lagi,lebih ditingkatkan lagi,['tingkat'],ditingkatkan,1,positive
Hamim Hamim,5,2023-02-01 01:47:41,Sukses selalu,sukses selalu,['sukses'],sukses,3,positive
qooniatul,1,2023-02-01 01:47:38,"Aplikasi setelah di perbarui malah error, mau pengaduan malah gak bisa, katanya memudahkan,",aplikasi setelah di perbarui malah error mau pengaduan malah gak bisa katanya memudahkan,"['aplikasi', 'baru', 'error', 'adu', 'mudah']",aplikasi perbarui error pengaduan memudahkan,-9,negative
Matrojih Oji,5,2023-02-01 01:46:11,Jooossss,jooossss,['jooossss'],jooossss,0,neutral
Karmita Bramatyo,5,2023-02-01 01:45:28,mantul boskuh,mantul boskuh,"['mantul', 'boskuh']",mantul boskuh,0,neutral
Rossichul,5,2023-02-01 01:39:31,Apk ringan dan mudah digunakan,apk ringan dan mudah digunakan,"['apk', 'ringan', 'mudah']",apk ringan mudah,4,positive
Musik In,2,2023-02-01 01:38:04,Mengapa saya tidak dapat login padahal saya di menggunakan perangkat yang di root ini sangat membut saya kesusahan tolong di perbaiki,mengapa saya tidak dapat login padahal saya di menggunakan perangkat yang di root ini sangat membut saya kesusahan tolong di perbaiki,"['login', 'perangkat', 'root', 'membut', 'susah', 'tolong', 'baik']",login perangkat root membut kesusahan tolong perbaiki,0,neutral
Selly Resha,1,2023-02-01 01:34:25,Mengecewakan kenapa user name dan pasword salah terus padahal sudah bener baru kli login udah di persulit perbaiki jangan mempersulit orang .,mengecewakan kenapa user name dan pasword salah terus padahal sudah bener baru kli login udah di persulit perbaiki jangan mempersulit orang,"['kecewa', 'user', 'nama', 'pasword', 'salah', 'kli', 'login', 'sulit', 'baik', 'sulit', 'orang']",mengecewakan user nama pasword salah kli login persulit perbaiki mempersulit orang,-2,negative
Yulia Pasanea,5,2023-02-01 01:32:23,Cepat & Mudah Dalam Bertransaksi. Terima kasih BRImo,cepat  mudah dalam bertransaksi terima kasih brimo,"['cepat', 'mudah', 'transaksi', 'terima', 'kasih', 'brimo']",cepat mudah bertransaksi terima kasih brimo,10,positive
Isky Mainaky,5,2023-02-01 01:27:39,Bagus mantap,bagus mantap,"['bagus', 'mantap']",bagus mantap,3,positive
